path,prov,role,type,size,lines,indeg,outdeg,pagerank,M_EC,M_ZS,M_sem,tau_local,orbit_index,w_seed
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/README.md,canon,vocabulary,text,6233,260.0,0,0,0.0,0.521815,0.598815,0.556465,4.854,1,0.091
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/README.md,canon,constraint,text,460,24.0,0,0,0.0,0.526699,0.592699,0.556399,4.854,1,0.165
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/AGENT.md,canon,constraint,text,525,20.0,0,0,0.0,0.524386,0.590386,0.554086,4.843,1,0.668
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/global_pass.py,canon,runtime,python,4922,104.0,0,6,0.002302,0.532604,0.562972,0.54627,4.932,1,0.537
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/symbolic/glyph_pipeline.py,canon,vocabulary,python,1310,43.0,0,0,0.002302,0.505066,0.588934,0.542807,4.916,1,0.093
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/cognition/orchestrator.py,canon,runtime,python,2506,79.0,0,0,0.002302,0.528997,0.559365,0.542662,4.916,1,0.568
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/integration/information_flow.py,canon,runtime,python,2635,78.0,0,0,0.002302,0.52883,0.559198,0.542495,4.915,1,0.129
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/agent/resonance_optimizer.py,canon,runtime,python,2941,78.0,0,0,0.002302,0.52883,0.559198,0.542495,4.915,1,0.324
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/phase_control.py,canon,runtime,python,2836,77.0,0,0,0.002302,0.528661,0.559029,0.542327,4.914,1,0.543
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/omega/omega_runtime.py,canon,runtime,python,2564,75.0,0,0,0.002302,0.528316,0.558684,0.541982,4.913,1,0.219
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/generated/ciel_semantic_glossary_stats.json,canon,memory,text,5075,341.0,0,0,0.0,0.5334,0.5524,0.54195,4.789,1,0.297
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/emotion/affective_orchestrator.py,canon,runtime,python,2159,66.0,0,0,0.002302,0.526644,0.557012,0.54031,4.905,1,0.709
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/cli.py,canon,memory,python,4555,133.0,0,0,0.002302,0.527839,0.553707,0.53948,4.901,1,0.71
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/backend_adapter.py,canon,runtime,python,2251,61.0,0,0,0.002302,0.525616,0.555984,0.539281,4.9,1,0.106
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/omega/drift_core.py,canon,runtime,python,1881,60.0,0,0,0.002302,0.5254,0.555768,0.539065,4.899,1,0.193
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/controller.py,canon,runtime,python,1428,53.0,0,0,0.002302,0.523783,0.554151,0.537449,4.892,1,0.832
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/omega/boot_ritual.py,canon,runtime,python,1504,49.0,0,0,0.002302,0.522762,0.55313,0.536428,4.888,1,0.107
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/symbolic/symbolic_bridge.py,canon,runtime,python,1356,45.0,0,0,0.002302,0.521656,0.552024,0.535322,4.883,1,0.032
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/tsm_storage.py,canon,memory,python,3297,94.0,0,0,0.002302,0.523276,0.549144,0.534917,4.881,1,0.573
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/defaults.py,canon,memory,python,2828,91.0,0,0,0.002302,0.522851,0.548719,0.534491,4.879,1,0.75
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/wpm_storage.py,canon,memory,python,3184,87.0,0,0,0.002302,0.522261,0.548129,0.533902,4.876,1,0.263
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/long_term.py,canon,memory,python,1715,55.0,1,0,0.00271,0.521928,0.547902,0.533616,4.927,1,0.921
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/rules_engine.py,canon,memory,python,2744,78.0,0,0,0.002302,0.52083,0.546698,0.53247,4.87,1,0.765
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/tmp_processor.py,canon,memory,python,3420,76.0,0,0,0.002302,0.52049,0.546358,0.53213,4.868,1,0.256
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/memory_log.py,canon,memory,python,1369,45.0,1,0,0.00271,0.519318,0.545293,0.531007,4.915,1,0.437
12_RISKS_OPEN_QUESTIONS_AND_DECISIONS.md,architecture,axiom,text,925,26.0,0,0,0.0,0.52872,0.53122,0.529845,4.667,1,1.327
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/data_types.py,canon,memory,python,1145,49.0,0,0,0.002302,0.514762,0.54063,0.526403,4.842,1,0.324
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,canon,constraint,python,15436,403.0,0,0,0.002302,0.570478,0.643346,0.523269,4.828,1,0.467
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/AGENT.md,canon,vocabulary,text,506,19.0,0,0,0.0,0.487739,0.564739,0.522389,4.701,1,0.007
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/generated/ciel_semantic_glossary_stats.md,canon,memory,text,2452,69.0,0,0,0.0,0.512357,0.531357,0.520907,4.694,1,0.603
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/synchronizer.py,canon,memory,python,700,29.0,0,0,0.002302,0.507986,0.533854,0.519626,4.812,1,0.528
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/bridge/README.md,canon,runtime,text,477,24.0,0,0,0.0,0.506699,0.530199,0.517274,4.678,1,0.404
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/README.md,canon,runtime,text,415,23.0,0,0,0.0,0.506158,0.529658,0.516733,4.675,1,1.048
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/bridge/AGENT.md,canon,runtime,text,542,20.0,0,0,0.0,0.504386,0.527886,0.514961,4.667,1,0.48
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/config/constants.py,canon,config,python,4825,109.0,0,0,0.002302,0.505221,0.526089,0.514612,4.789,1,1.242
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/AGENT.md,canon,runtime,text,481,19.0,0,0,0.0,0.503739,0.527239,0.514314,4.664,1,0.795
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/config/reality_layers.py,canon,config,python,2874,69.0,0,0,0.002302,0.499225,0.520093,0.508616,4.762,1,0.429
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/README.md,canon,memory,text,446,23.0,0,0,0.0,0.498158,0.517158,0.506708,4.63,1,1.041
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/AGENT.md,canon,memory,text,512,19.0,0,0,0.0,0.495739,0.514739,0.504289,4.619,1,0.49
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/config/ciel_config.py,canon,config,python,1166,43.0,0,0,0.002302,0.493066,0.513934,0.502457,4.735,1,0.045
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/demo_holonomy_eba.py,canon,constraint,python,11867,333.0,0,0,0.002302,0.567954,0.640822,0.500745,4.727,1,1.263
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/experiments/lab_registry.py,canon,axiom,python,6124,182.0,0,0,0.002302,0.575973,0.582841,0.499064,4.719,1,0.81
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/setup.py,canon,config,python,677,21.0,0,0,0.002302,0.483872,0.50474,0.493262,4.693,1,1.354
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/mathematics/paradoxes/ultimate_operators.py,canon,experiment,python,67105,1555.0,0,0,0.002302,0.488366,0.486234,0.487407,4.667,1,0.811
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/mathematics/universal_law/universal_engine.py,canon,experiment,python,48365,1178.0,0,0,0.002302,0.484685,0.482554,0.483726,4.65,1,0.703
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/mathematics/lie4/lie4_full.py,canon,experiment,python,31405,854.0,0,0,0.002302,0.480423,0.478291,0.479464,4.631,1,0.973
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext21.py,canon,experiment,python,31850,791.0,0,0,0.002302,0.479408,0.477276,0.478448,4.627,1,0.192
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext18.py,canon,experiment,python,17252,341.0,0,0,0.002302,0.468268,0.466136,0.467309,4.577,1,0.495
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/demo_core_concepts.py,canon,vocabulary,python,7990,251.0,0,0,0.002302,0.528217,0.612085,0.465958,4.57,1,0.104
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/emotion/cqcl/emotional_collatz.py,canon,experiment,python,14926,307.0,0,0,0.002302,0.466879,0.464747,0.46592,4.57,1,0.932
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext1.py,canon,experiment,python,10949,287.0,0,0,0.002302,0.465989,0.463857,0.465029,4.566,1,0.497
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext7.py,canon,experiment,python,10155,273.0,0,0,0.002302,0.465328,0.463196,0.464368,4.563,1,0.96
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext17.py,canon,experiment,python,14162,273.0,0,0,0.002302,0.465328,0.463196,0.464368,4.563,1,0.265
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,canon,other,python,13244,301.0,3,3,0.004102,0.441325,0.472733,0.455458,4.71,1,0.219
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/model.py,canon,other,python,1285,54.0,4,0,0.005897,0.428533,0.464185,0.444577,4.787,1,1.325
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/core/braid/loops.py,canon,other,python,661,33.0,6,4,0.005233,0.429059,0.460508,0.443211,4.806,1,1.177
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/dynamics.py,canon,other,python,9089,177.0,2,4,0.003383,0.427722,0.458096,0.441391,4.578,1,1.281
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/core/braid/glyphs.py,canon,other,python,1733,63.0,4,5,0.004422,0.426142,0.457393,0.440205,4.688,1,1.001
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/core/braid/scars.py,canon,other,python,1651,64.0,3,0,0.00331,0.418586,0.447631,0.431657,4.56,1,0.445
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/__init__.py,canon,vocabulary,python,2319,71.0,6,8,0.006378,0.550429,0.639794,0.420643,4.765,1,0.126
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/requirements.txt,canon,config,text,472,16.0,0,0,0.0,0.473583,0.487583,0.479883,4.509,2,1.049
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/configs/heuristics_user.json,canon,config,text,255,16.0,0,0,0.0,0.473583,0.487583,0.479883,4.509,2,1.261
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/configs/heuristics_self.json,canon,config,text,221,15.0,0,0,0.0,0.472779,0.486779,0.479079,4.506,2,0.478
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/configs/rules_immutable.json,canon,config,text,150,10.0,0,0,0.0,0.467809,0.481809,0.474109,4.483,2,0.285
00_INDEX (kopia).md,architecture,axiom,text,1415,36.0,0,0,0.0,0.6329,0.5354,0.469025,4.393,2,0.364
CIEL_OMEGA_COMPLETE_SYSTEM/CIEL_MEMORY_SYSTEM/WPM/wave_snapshots/wave_archive.h5,canon,memory,h5,1832,,0,0,0.0,0.456,0.475,0.46455,4.44,2,0.256
CIEL_OMEGA_COMPLETE_SYSTEM/CIEL_MEMORY_SYSTEM/TSM/ledger/memory_ledger.db,canon,memory,db,12288,,0,0,0.0,0.456,0.475,0.46455,4.44,2,0.455
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/generated/ciel_semantic_glossary.db,canon,memory,db,81920,,0,0,0.0,0.456,0.475,0.46455,4.44,2,0.304
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/CIEL_MEMORY_SYSTEM/TSM/ledger/memory_ledger.db,canon,memory,db,12288,,0,0,0.0,0.456,0.475,0.46455,4.44,2,0.409
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext9.py,canon,experiment,python,10836,258.0,0,0,0.002302,0.464581,0.462449,0.463621,4.56,2,0.323
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/cognition/intuition.py,canon,ui,python,1693,55.0,0,0,0.002302,0.470265,0.454633,0.463231,4.558,2,0.662
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext10.py,canon,experiment,python,11592,234.0,0,0,0.002302,0.463291,0.461159,0.462331,4.554,2,0.604
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/bio/eeg_emotion_mapper.py,canon,ui,python,1524,47.0,0,0,0.002302,0.468221,0.452589,0.461186,4.549,2,0.352
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext6.py,canon,experiment,python,8404,211.0,0,0,0.002302,0.461925,0.459793,0.460965,4.548,2,1.249
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext20.py,canon,experiment,python,9986,209.0,0,0,0.002302,0.461799,0.459667,0.460839,4.547,2,1.26
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext5.py,canon,experiment,python,8002,204.0,0,0,0.002302,0.461479,0.459347,0.46052,4.546,2,0.83
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/visualization/color_map.py,canon,ui,python,1316,44.0,0,0,0.002302,0.467364,0.451732,0.46033,4.545,2,0.161
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext2.py,canon,experiment,python,7529,190.0,0,0,0.002302,0.460541,0.458409,0.459581,4.542,2,0.325
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext8.py,canon,experiment,python,7391,183.0,0,0,0.002302,0.460045,0.457914,0.459086,4.54,2,0.604
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/visualization/visual_core.py,canon,ui,python,953,36.0,0,0,0.002302,0.464768,0.449136,0.457733,4.533,2,0.169
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/ext3.py,canon,experiment,python,6688,159.0,0,0,0.002302,0.458191,0.45606,0.457232,4.531,2,0.816
