file_A,file_B,relation,status,strictness,note
ciel_omega/memory/audit_journal.py,ciel_omega/memory/coupling.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/braid_invariant.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/coupling.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/dynamics.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/dynamics.py,ciel_omega/memory/coupling.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/dynamics.py,ciel_omega/memory/potential.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/episodic.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/holonomy.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/holonomy.py,ciel_omega/memory/coupling.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/identity_memory.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/identity_memory.py,ciel_omega/memory/identity_types.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/affective_memory.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/audit_journal.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/braid_invariant.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/dynamics.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/episodic.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/holonomy.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/identity_memory.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/orchestrator_types.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/perceptual_memory.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/procedural_memory.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/semantic_memory.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/orchestrator.py,ciel_omega/memory/working_memory.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/perceptual_memory.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/perceptual_memory.py,ciel_omega/memory/perceptual_types.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/potential.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/potential.py,ciel_omega/memory/coupling.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/potential.py,ciel_omega/memory/holonomy.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/procedural_memory.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/procedural_memory.py,ciel_omega/memory/episodic.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/procedural_memory.py,ciel_omega/memory/procedural_types.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/semantic_memory.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/semantic_memory.py,ciel_omega/memory/episodic.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/semantic_memory.py,ciel_omega/memory/semantic_types.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/working_memory.py,ciel_omega/memory/base.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/memory/working_memory.py,ciel_omega/memory/working_types.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/dynamics.py,ciel_omega/orbital/metrics.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/dynamics.py,ciel_omega/orbital/model.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/global_pass.py,ciel_omega/orbital/dynamics.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/global_pass.py,ciel_omega/orbital/extract_geometry.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/global_pass.py,ciel_omega/orbital/metrics.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/global_pass.py,ciel_omega/orbital/registry.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/metrics.py,ciel_omega/orbital/model.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/orbital/registry.py,ciel_omega/orbital/model.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/unified_system.py,ciel_omega/bridge/memory_core_phase_bridge.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/unified_system.py,ciel_omega/ciel_orchestrator.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/extended_concepts.py,ciel_omega/vocabulary/core_concepts.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/field_dynamics.py,ciel_omega/vocabulary/core_concepts.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/orchestrator.py,ciel_omega/vocabulary/core_concepts.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/orchestrator.py,ciel_omega/vocabulary/extended_concepts.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/orchestrator.py,ciel_omega/vocabulary/field_dynamics.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/orchestrator.py,ciel_omega/vocabulary/planetary_archetypes.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/orchestrator.py,ciel_omega/vocabulary/transcendent.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
ciel_omega/vocabulary/transcendent.py,ciel_omega/vocabulary/core_concepts.py,imports,confirmed-derived,confirmed-mechanism,internal import edge touching mechanically active file
